transaction_id,fee_amount
306,25.07
307,13.14
308,17.31
309,61.1
310,78.8
311,33.15
312,43.08
313,54.96
314,43.37
315,312.06
316,86.2
317,64.22
318,42.79
319,5.82
320,64.29
321,16.4
322,2.51
323,143.06
324,45.62
325,36.51
326,27.9
327,124.5
328,88.8
329,294.18
330,18.22
331,43.09
332,17.03
333,3.48
334,25.07
335,11.52
336,2.31
337,70.09
338,33.3
339,236.05
340,41.89
341,41.55
342,2.17
343,6.58
344,61.11
345,57.29
346,99.33
347,4.43
348,108.87
349,18.66
350,28.61
351,28.5
352,20.85
353,65.91
354,0.0
355,48.89
356,33.99
357,73.45
358,73.35
359,57.71
360,165.5
361,22.45
362,0.2
363,7.68
364,121.05
365,24.23
366,70.86
367,2.77
368,52.58
369,6.12
370,112.64
371,7.94
372,62.26
373,70.67
374,146.51
375,48.88
376,29.44
377,26.51
378,21.29
379,32.45
380,45.83
381,255.64
382,3.35
383,33.06
384,85.44
385,9.57
386,26.62
387,57.49
388,0.0
389,42.88
390,47.11
391,34.73
392,4.99
393,24.13
394,136.16
395,105.3
396,39.66
397,50.05
398,24.16
399,12.63
400,55.72
401,41.83
402,10.94
403,46.54
404,76.32
405,27.55
406,33.78
407,92.7
408,169.99
409,8.51
410,10.1
411,78.64
412,12.85
413,101.69
414,120.84
415,102.77
416,24.83
417,77.78
418,5.94
419,133.95
420,80.82
421,15.85
422,103.35
423,30.01
424,46.93
425,15.97
426,37.47
427,125.79
428,166.22
429,8.06
430,87.24
431,119.41
432,1.97
433,6.15
434,0.41
435,69.08
436,244.28
437,27.59
438,5.85
439,78.83
440,13.37
441,28.87
442,39.89
443,17.08
444,0.88
445,50.69
446,15.27
447,128.35
448,29.32
449,58.26
450,75.99
451,6.49
452,43.52
453,82.56
454,241.38
455,38.1
456,48.7
457,20.13
458,92.97
459,31.46
460,0.0
461,15.46
462,58.86
463,91.27
464,16.2
465,28.5
466,79.42
467,16.93
468,19.23
469,88.86
470,41.88
471,32.68
472,78.98
473,46.42
474,86.36
475,98.27
476,35.42
477,26.4
478,95.1
479,0.78
480,1.85
481,18.4
482,9.59
483,238.76
484,53.31
485,58.7
486,21.13
487,0.72
488,178.46
489,79.78
490,6.92
491,17.55
492,29.46
493,32.63
494,9.33
495,96.35
496,1.0
497,52.3
498,84.11
499,7.34
500,3.87
501,99.48
502,9.55
503,10.84
504,12.97
505,7.74
506,7.38
507,12.36
508,332.09
509,19.49
510,47.8
511,7.24
512,9.02
513,33.36
514,21.69
515,1.45
516,91.85
517,3.14
518,55.65
519,77.06
520,3.14
521,6.23
522,74.1
523,5.22
524,3.02
525,219.04
526,27.31
527,4.62
528,48.59
529,27.88
530,3.32
531,39.24
532,131.55
533,310.78
534,110.01
535,70.46
536,0.0
537,73.94
538,30.14
539,10.19
540,2.06
541,25.46
542,3.91
543,30.51
544,158.87
545,31.36
546,21.89
547,70.16
548,87.35
549,0.0
550,34.87
551,61.54
552,44.34
553,4.68
554,97.65
555,35.25
556,21.74
557,128.02
558,219.37
559,38.98
560,23.53
561,14.83
562,191.7
563,13.47
564,45.02
565,26.4
566,51.76
567,136.6
568,77.51
569,30.51
570,4.94
571,59.48
572,77.9
573,77.98
574,44.47
575,9.4
576,168.3
577,12.42
578,9.6
579,108.92
580,0.0
581,219.89
582,17.47
583,94.9
584,23.4
585,42.48
586,32.27
587,33.11
588,13.67
589,3.05
590,96.63
591,7.17
592,34.33
593,60.46
594,166.22
595,0.0
596,353.06
597,19.03
598,156.79
599,164.0
600,22.3
601,7.94
602,0.0
603,6.91
604,29.55
605,10.02
606,45.28
607,23.28
608,11.99
609,147.67
610,29.04
611,9.94
612,0.0
613,103.0
614,48.97
615,9.23
616,216.22
617,5.66
618,15.01
619,33.74
620,53.74
621,18.55
622,13.71
623,12.74
624,57.53
625,62.21
626,109.5
627,3.75
628,20.32
629,114.05
630,34.79
631,88.83
632,29.8
633,87.69
634,6.43
635,5.58
636,10.27
637,0.0
638,33.35
639,24.13
640,6.76
641,146.95
642,32.95
643,69.79
644,54.15
645,16.26
646,89.27
647,118.65
648,200.98
649,40.34
650,38.0
651,4.19
652,106.57
653,92.62
654,32.63
655,67.04
656,38.9
657,8.27
658,30.8
659,14.1
660,42.88
661,0.0
662,95.77
663,15.86
664,186.02
665,25.48
666,1.68
667,23.61
668,1.87
669,4.15
670,64.83
671,6.06
672,32.87
673,120.37
674,49.38
675,165.58
676,29.89
677,4.9
678,30.77
679,8.09
680,4.9
681,122.63
682,89.1
683,1.23
684,17.46
685,87.19
686,12.26
687,0.87
688,2.61
689,47.72
690,19.69
691,23.02
692,30.93
693,18.57
694,45.09
695,74.59
696,3.89
697,6.76
698,14.23
699,48.49
700,40.69
701,31.93
702,14.9
703,30.07
704,187.48
705,111.6
706,190.56
707,28.34
708,92.55
709,31.54
710,14.0
711,23.46
712,53.85
713,113.49
714,1.09
715,157.87
716,12.18
717,108.02
718,8.25
719,35.65
720,233.45
721,99.91
722,21.52
723,21.5
724,30.63
725,49.47
726,63.02
727,19.11
728,31.13
729,119.51
730,162.18
731,9.17
732,160.08
733,88.85
734,130.94
735,9.4
736,230.92
737,12.61
738,17.03
739,86.1
740,95.4
741,74.18
742,44.12
743,90.02
744,192.64
745,144.77
746,11.34
747,49.99
748,71.6
749,83.08
750,95.1
751,98.07
752,0.0
753,78.12
754,54.59
755,16.4
756,162.27
757,70.36
758,32.69
759,143.56
760,85.31
761,23.16
762,20.87
763,0.0
764,39.54
765,76.22
766,312.38
767,406.84
768,3.81
769,5.71
770,17.35
771,51.78
772,92.04
773,5.13
774,47.42
775,29.05
776,29.89
777,26.74
778,23.56
779,109.42
780,26.56
781,161.09
782,40.89
783,44.26
784,20.34
785,18.99
786,154.8
787,122.36
788,97.09
789,25.49
790,44.43
791,71.22
792,88.52
793,154.21
794,75.04
795,4.05
796,0.0
797,2.56
798,83.98
799,12.32
800,18.25
801,85.12
802,40.14
803,85.96
804,218.33
805,0.07
806,2.29
807,66.85
808,69.39
809,200.77
810,21.8
811,15.26
812,154.96
813,108.06
814,13.45
815,42.91
816,17.98
817,30.3
818,9.94
819,57.17
820,23.45
821,50.44
822,62.19
823,10.05
824,11.8
825,2.17
826,185.16
827,71.15
828,94.32
829,70.9
830,38.19
831,231.75
832,31.8
833,0.0
834,23.78
835,8.78
836,37.48
837,32.57
838,45.46
839,39.48
840,120.12
841,128.27
842,134.86
843,111.03
844,65.37
845,48.59
846,11.6
847,34.66
848,11.31
849,224.48
850,0.0
851,223.09
852,2.46
853,88.12
854,67.36
855,97.01
856,52.27
857,44.18
858,215.63
859,51.23
860,77.45
861,80.94
862,15.66
863,10.62
864,28.98
865,0.0
866,62.36
867,100.72
868,46.85
869,39.91
870,88.88
871,8.83
872,0.82
873,9.93
874,1.92
875,23.35
876,14.02
877,21.83
878,25.54
879,0.0
880,21.12
881,101.68
882,4.05
883,0.0
884,237.46
885,41.58
886,112.59
887,76.73
888,430.14
889,223.16
890,68.95
891,23.38
892,119.89
893,275.49
894,52.44
895,148.41
896,0.0
897,70.42
898,23.62
899,166.65
900,91.05
901,31.55
902,22.37
903,9.83
904,32.21
905,115.14
906,18.0
907,159.55
908,27.36
909,54.92
910,6.62
911,10.13
912,49.85
913,66.23
914,171.57
915,42.32
916,8.57
917,37.11
918,32.88
919,92.13
920,2.53
921,74.55
922,34.33
923,25.89
924,0.0
925,17.14
926,10.39
927,101.14
928,15.72
929,43.42
930,304.61
931,157.29
932,3.94
933,93.18
934,360.97
935,30.03
936,0.36
937,71.02
938,109.58
939,23.14
940,24.46
941,132.45
942,8.67
943,87.73
944,45.54
945,30.99
946,9.65
947,7.39
948,45.78
949,22.56
950,46.03
951,136.92
952,47.85
953,44.81
954,0.14
955,86.02
956,19.79
957,12.78
958,124.7
959,29.22
960,37.98
961,3.33
962,0.0
963,10.27
964,300.26
965,172.9
966,64.21
967,63.48
968,52.28
969,117.3
970,61.81
971,34.7
972,103.4
973,4.13
974,25.52
975,61.24
976,0.0
977,16.68
978,8.87
979,29.79
980,23.94
981,21.81
982,17.2
983,40.63
984,66.33
985,21.33
986,38.65
987,4.74
988,73.09
989,25.36
990,76.48
991,36.21
992,24.78
993,36.88
994,139.87
995,30.13
996,2.19
997,90.09
998,17.94
999,0.0
1000,61.49
1001,41.59
1002,27.32
1003,52.2
1004,19.28
1005,166.9
1006,36.3
1007,102.47
1008,41.84
1009,4.34
1010,46.46
1011,108.54
1012,32.52
1013,29.53
1014,38.22
1015,33.46
1016,43.2
1017,48.18
1018,35.66
1019,99.62
1020,138.02
1021,1.82
1022,38.07
1023,56.15
1024,91.03
1025,41.19
1026,5.45
1027,0.0
1028,11.36
1029,0.0
1030,5.52
1031,216.95
1032,0.0
1033,307.26
1034,94.99
1035,30.6
1036,104.63
1037,89.48
1038,1.82
1039,251.93
1040,58.26
1041,87.61
1042,268.52
1043,11.48
1044,62.55
1045,86.38
1046,154.76
1047,15.33
1048,30.29
1049,17.67
1050,188.85
1051,147.99
1052,0.0
1053,69.6
1054,24.0
1055,10.21
1056,33.77
1057,95.88
1058,6.01
1059,169.16
1060,14.55
1061,53.47
1062,22.73
1063,7.92
1064,129.05
1065,55.78
1066,25.79
1067,16.93
1068,4.73
1069,88.54
1070,94.25
1071,28.31
1072,73.69
1073,31.48
1074,34.59
1075,163.35
1076,24.5
1077,206.96
1078,154.62
1079,171.54
1080,147.46
1081,45.48
1082,4.96
1083,3.18
1084,56.88
1085,53.85
1086,65.16
1087,112.36
1088,57.3
1089,21.97
1090,20.37
1091,15.06
1092,5.98
1093,21.1
1094,7.46
1095,56.1
1096,5.58
1097,207.1
1098,182.83
1099,49.51
1100,127.87
1101,32.56
1102,111.06
1103,88.89
1104,164.48
1105,75.62
1106,8.21
1107,26.39
1108,156.34
1109,161.18
1110,1.91
1111,36.17
1112,17.37
1113,58.04
1114,0.0
1115,59.59
1116,51.15
1117,60.72
1118,3.69
1119,39.74
1120,48.4
1121,19.27
1122,166.41
1123,0.0
1124,101.4
1125,20.9
1126,48.79
1127,14.94
1128,37.29
1129,337.66
1130,56.27
1131,144.6
1132,218.8
1133,1.97
1134,245.52
1135,29.68
1136,0.0
1137,46.33
1138,132.99
1139,0.0
1140,56.48
1141,3.45
1142,23.41
1143,58.15
1144,8.1
1145,3.41
1146,34.57
1147,7.91
1148,97.48
1149,37.58
1150,26.94
1151,119.73
1152,191.52
1153,21.46
1154,181.43
1155,9.02
1156,129.98
1157,87.26
1158,26.02
1159,61.38
1160,70.87
1161,68.74
1162,246.5
1163,67.47
1164,28.27
1165,40.44
1166,28.05
1167,82.16
1168,286.49
1169,348.64
1170,116.19
1171,0.56
1172,120.93
1173,40.97
1174,239.92
1175,219.37
1176,28.24
1177,7.08
1178,53.18
1179,36.44
1180,3.93
1181,0.7
1182,5.67
1183,16.14
1184,6.29
1185,12.39
1186,24.49
1187,0.0
1188,37.03
1189,39.64
1190,4.41
1191,4.84
1192,140.66
1193,24.76
1194,17.41
1195,32.42
1196,193.28
1197,145.34
1198,26.31
1199,64.37
1200,19.11
1201,19.81
1202,48.64
1203,54.22
1204,15.43
1205,0.0
1206,208.92
1207,63.0
1208,11.47
1209,290.52
1210,49.11
1211,29.25
1212,86.13
1213,0.0
1214,45.67
1215,87.11
1216,15.84
1217,16.83
1218,52.42
1219,41.76
1220,53.93
1221,24.73
1222,159.08
1223,15.11
1224,9.31
1225,284.72
1226,8.07
1227,36.96
1228,30.89
1229,35.34
1230,22.96
1231,11.13
1232,216.67
1233,5.45
1234,6.96
1235,54.37
1236,62.84
1237,6.15
1238,101.69
1239,19.98
1240,52.75
1241,102.48
1242,8.96
1243,60.8
1244,12.46
1245,29.14
1246,17.35
1247,24.24
1248,222.35
1249,151.03
1250,40.54
1251,29.08
1252,26.12
1253,20.42
1254,5.87
1255,35.2
1256,5.66
1257,3.58
1258,83.76
1259,233.79
1260,65.93
1261,7.92
1262,8.59
1263,3.53
1264,81.83
1265,39.78
1266,20.91
1267,36.14
1268,1.71
1269,58.99
1270,125.1
1271,93.1
1272,2.9
1273,218.76
1274,38.29
1275,87.77
1276,9.47
1277,98.76
1278,22.24
1279,21.83
1280,160.76
1281,20.41
1282,1.18
1283,25.57
1284,14.72
1285,7.45
1286,34.09
1287,0.13
1288,24.07
1289,16.06
1290,114.08
1291,129.98
1292,62.77
1293,37.81
1294,15.91
1295,14.29
1296,35.79
1297,103.79
1298,59.73
1299,29.51
1300,5.46
1301,126.08
1302,57.25
1303,38.03
1304,43.92
1305,130.05
1306,83.85
1307,17.78
1308,0.0
1309,38.54
1310,10.07
1311,74.98
1312,47.32
1313,219.42
1314,14.34
1315,0.0
1316,14.42
1317,60.01
1318,163.66
1319,35.42
1320,129.46
1321,144.68
1322,56.24
1323,28.32
1324,286.72
1325,70.93
1326,55.6
1327,92.91
1328,10.52
1329,19.05
1330,103.55
1331,0.0
1332,2.85
1333,12.78
1334,57.11
1335,35.42
1336,13.0
1337,79.81
1338,35.9
1339,51.22
1340,137.84
1341,52.06
1342,149.76
1343,11.44
1344,61.97
1345,43.71
1346,32.01
1347,42.83
1348,123.58
1349,8.43
1350,95.97
1351,35.61
1352,9.05
1353,1.33
1354,61.52
1355,82.63
1356,0.75
1357,77.95
1358,74.53
1359,1.57
1360,17.77
1361,46.38
1362,0.0
1363,0.0
1364,29.59
1365,76.28
1366,21.06
1367,9.54
1368,20.11
1369,158.15
1370,54.04
1371,96.51
1372,2.94
1373,49.59
1374,65.56
1375,50.7
1376,42.49
1377,95.55
1378,70.68
1379,0.2
1380,130.42
1381,0.0
1382,0.76
1383,22.24
1384,0.0
1385,29.38
1386,21.52
1387,41.46
1388,59.2
1389,23.38
1390,12.54
1391,13.58
1392,14.98
1393,5.16
1394,47.69
1395,41.88
1396,55.4
1397,106.84
1398,253.34
1399,16.85
1400,21.78
1401,23.74
1402,0.0
1403,27.42
1404,166.36
1405,3.3
1406,205.47
1407,70.13
1408,70.08
1409,160.34
1410,10.04
1411,117.73
1412,58.01
1413,30.21
1414,84.88
1415,112.2
1416,2.15
1417,1.24
1418,7.5
1419,24.73
1420,168.61
1421,57.29
1422,126.23
1423,78.5
1424,70.95
1425,168.77
1426,6.88
1427,66.4
1428,97.72
1429,21.22
1430,100.09
1431,34.74
1432,5.31
1433,8.15
1434,86.06
1435,200.57
1436,132.79
1437,6.02
1438,9.22
1439,39.63
1440,88.6
1441,103.61
1442,49.71
1443,34.4
1444,15.78
1445,8.37
1446,26.22
1447,30.53
1448,12.17
1449,25.89
1450,76.9
1451,19.5
1452,1.56
1453,13.36
1454,44.13
1455,58.48
1456,19.7
1457,160.57
1458,7.72
1459,2.18
1460,32.95
1461,26.02
1462,7.7
1463,30.64
1464,31.07
1465,120.39
1466,38.92
1467,227.19
1468,1.59
1469,64.57
1470,44.14
1471,189.28
1472,131.11
1473,14.38
1474,43.59
1475,5.88
1476,74.24
1477,77.08
1478,190.55
1479,1.81
1480,2.45
1481,0.0
1482,94.96
1483,1.39
1484,45.32
1485,38.09
1486,0.56
1487,57.79
1488,5.99
1489,118.47
1490,49.24
1491,8.81
1492,171.39
1493,12.11
1494,9.14
1495,9.98
1496,77.17
1497,1.71
1498,48.86
1499,0.0
1500,16.38
1501,14.51
1502,6.06
1503,274.53
1504,20.03
1505,22.69
1506,20.11
1507,45.31
1508,77.83
1509,0.39
1510,59.72
1511,53.29
1512,161.0
1513,46.04
1514,283.03
1515,45.43
1516,87.56
1517,59.82
1518,0.0
1519,14.4
1520,6.49
1521,49.41
1522,23.33
1523,0.0
1524,14.77
1525,44.67
1526,33.18
1527,18.52
1528,120.53
1529,55.17
1530,27.7
1531,15.71
1532,0.49
1533,11.96
1534,174.58
1535,55.02
1536,3.58
1537,245.72
1538,14.08
1539,34.49
1540,23.41
1541,8.65
1542,30.15
1543,67.14
1544,53.08
1545,73.52
1546,86.84
1547,16.68
1548,16.31
1549,15.32
1550,3.27
1551,61.66
1552,34.02
1553,34.68
1554,12.13
1555,47.12
1556,33.58
1557,36.14
1558,101.35
1559,42.98
1560,48.31
1561,0.0
1562,108.41
1563,0.0
1564,35.69
1565,9.58
1566,0.0
1567,115.56
1568,33.93
1569,0.0
1570,82.77
1571,89.08
1572,119.07
1573,141.17
1574,113.17
1575,26.27
1576,188.37
1577,98.17
1578,17.05
1579,163.36
1580,65.06
1581,19.35
1582,16.22
1583,132.77
1584,0.0
1585,0.0
1586,1.92
1587,14.79
1588,105.61
1589,45.92
1590,1.65
1591,0.0
1592,174.46
1593,24.07
1594,51.34
1595,0.0
1596,174.83
1597,42.41
1598,1.54
1599,2.76
1600,17.53
1601,293.2
1602,0.0
1603,24.76
1604,0.0
1605,21.16
1606,20.51
1607,110.7
1608,133.9
1609,30.46
1610,38.15
1611,81.5
1612,21.98
1613,9.95
1614,9.72
1615,81.46
1616,57.82
1617,48.19
1618,18.3
1619,50.4
1620,18.64
1621,12.17
1622,157.87
1623,1.93
1624,167.34
1625,109.14
1626,39.66
1627,75.15
1628,76.26
1629,9.13
1630,6.75
1631,10.5
1632,6.57
1633,68.69
1634,47.61
1635,83.95
1636,65.64
1637,80.7
1638,45.91
1639,27.51
1640,133.38
1641,112.89
1642,18.14
1643,38.42
1644,30.04
1645,260.02
1646,29.93
1647,23.3
1648,35.56
1649,27.04
1650,0.0
1651,273.65
1652,23.92
1653,58.78
1654,59.34
1655,53.27
1656,75.67
1657,279.5
1658,16.49
1659,52.11
1660,36.79
1661,8.45
1662,11.33
1663,21.19
1664,10.76
1665,31.89
1666,15.47
1667,0.0
1668,47.43
1669,19.98
1670,51.48
1671,37.76
1672,146.36
1673,129.06
1674,31.32
1675,71.21
1676,49.45
1677,15.49
1678,19.79
1679,3.44
1680,155.64
1681,100.68
1682,116.48
1683,57.69
1684,36.55
1685,29.63
1686,113.84
1687,22.28
1688,14.24
1689,25.74
1690,82.6
1691,12.28
1692,7.52
1693,9.92
1694,6.81
1695,107.82
1696,32.29
1697,1.4
1698,2.67
1699,11.5
1700,98.98
1701,9.54
1702,8.79
1703,161.89
1704,22.58
1705,85.77
1706,2.17
1707,67.65
1708,73.19
1709,32.33
1710,28.09
1711,16.28
1712,146.32
1713,19.3
1714,63.57
1715,8.61
1716,0.0
1717,96.09
1718,0.82
1719,46.48
1720,0.0
1721,23.26
1722,16.07
1723,86.92
1724,79.94
1725,104.66
1726,8.25
1727,497.45
1728,0.0
1729,175.11
1730,37.75
1731,112.94
1732,15.62
1733,2.92
1734,15.86
1735,146.19
1736,39.43
1737,94.43
1738,41.71
1739,78.77
1740,13.93
1741,29.33
1742,12.96
1743,36.46
1744,22.34
1745,85.71
1746,9.94
1747,11.41
1748,84.81
1749,328.95
1750,38.98
1751,3.04
1752,0.0
1753,136.14
1754,288.28
1755,97.28
1756,47.92
1757,37.21
1758,0.99
1759,85.48
1760,18.19
1761,222.84
1762,104.27
1763,8.36
1764,65.89
1765,232.93
1766,54.38
1767,59.33
1768,57.9
1769,13.08
1770,47.87
1771,62.26
1772,2.84
1773,16.28
1774,39.94
1775,29.06
1776,48.47
1777,72.64
1778,4.73
1779,134.89
1780,40.0
1781,185.01
1782,30.38
1783,65.26
1784,23.63
1785,22.22
1786,13.44
1787,252.36
1788,32.38
1789,16.28
1790,108.3
1791,16.51
1792,98.6
1793,105.7
1794,168.37
1795,43.97
1796,29.36
1797,48.61
1798,27.32
1799,10.72
1800,47.87
1801,33.79
1802,25.44
1803,29.54
1804,23.18
1805,51.13
1806,6.51
1807,68.79
1808,51.21
1809,77.56
1810,3.99
1811,54.76
1812,36.7
1813,89.09
1814,40.21
1815,35.4
1816,2.84
1817,34.27
1818,2.84
1819,44.5
1820,69.22
1821,20.41
1822,18.24
1823,28.44
1824,2.55
1825,84.09
1826,0.3
1827,38.36
1828,83.83
1829,37.46
1830,27.0
1831,6.55
1832,20.71
1833,0.77
1834,128.72
1835,31.24
1836,16.82
1837,0.0
1838,62.37
1839,57.71
1840,28.05
1841,29.14
1842,143.13
1843,96.74
1844,5.44
1845,186.83
1846,28.56
1847,82.32
1848,0.0
1849,11.03
1850,354.75
1851,59.78
1852,48.32
1853,47.22
1854,50.91
1855,0.35
1856,18.68
1857,6.53
1858,10.14
1859,13.59
1860,23.46
1861,17.9
1862,40.82
1863,33.22
1864,8.33
1865,126.17
1866,163.28
1867,24.5
1868,67.15
1869,141.93
1870,149.61
1871,44.91
1872,15.74
1873,37.15
1874,227.0
1875,175.88
1876,165.98
1877,87.76
1878,4.69
1879,116.75
1880,56.3
1881,50.86
1882,13.4
1883,53.43
1884,50.97
1885,15.77
1886,111.5
1887,155.58
1888,203.19
1889,7.56
1890,16.38
1891,47.56
1892,10.42
1893,3.59
1894,98.68
1895,80.95
1896,124.58
1897,119.06
1898,31.36
1899,26.67
1900,45.49
1901,128.45
1902,7.59
1903,110.5
1904,48.01
1905,133.64
1906,61.88
1907,51.32
1908,38.62
1909,9.53
1910,155.3
1911,83.55
1912,12.49
1913,10.83
1914,2.36
1915,17.49
1916,29.31
1917,5.37
1918,76.47
1919,194.21
1920,35.55
1921,397.02
1922,88.57
1923,21.88
1924,4.29
1925,30.79
1926,125.91
1927,437.45
1928,28.21
1929,137.85
1930,8.03
1931,10.06
1932,111.69
1933,53.93
1934,156.37
1935,5.47
1936,0.96
1937,25.21
1938,0.0
1939,112.52
1940,11.24
1941,6.24
1942,230.52
1943,236.11
1944,23.93
1945,47.82
1946,62.49
1947,94.08
1948,25.66
1949,93.17
1950,148.46
1951,9.13
1952,6.18
1953,30.08
1954,23.9
1955,304.77
1956,142.2
1957,60.2
1958,72.71
1959,81.49
1960,42.7
1961,0.0
1962,29.53
1963,32.68
1964,6.86
1965,1.36
1966,22.3
1967,74.95
1968,95.39
1969,90.12
1970,633.04
1971,69.18
1972,15.64
1973,108.26
1974,60.17
1975,11.93
1976,4.13
1977,5.0
1978,60.47
1979,142.9
1980,25.32
1981,2.16
1982,15.68
1983,5.37
1984,5.13
1985,0.89
1986,129.85
1987,132.63
1988,0.0
1989,19.24
1990,103.63
1991,133.36
1992,69.16
1993,130.67
1994,38.19
1995,68.08
1996,279.81
1997,46.38
1998,26.18
1999,0.0
2000,127.04
2001,0.0
2002,29.3
2003,29.98
2004,32.39
2005,82.55
2006,33.67
2007,12.45
2008,16.96
2009,41.12
2010,24.17
2011,105.28
2012,60.31
2013,38.87
2014,89.81
2015,154.84
2016,58.3
2017,50.92
2018,38.46
2019,34.01
2020,13.48
2021,390.12
2022,19.78
2023,6.09
2024,49.98
2025,34.38
2026,50.4
2027,46.68
2028,50.96
2029,43.75
2030,2.82
2031,0.0
2032,20.59
2033,39.2
2034,140.63
2035,55.49
2036,16.22
2037,101.42
2038,32.8
2039,18.66
2040,29.0
2041,165.28
2042,109.53
2043,19.19
2044,22.2
2045,122.9
2046,0.0
2047,26.11
2048,48.89
2049,14.5
2050,40.91
2051,21.68
2052,107.38
2053,38.81
2054,152.08
2055,4.69
2056,24.84
2057,175.51
2058,85.28
2059,1.41
2060,10.75
2061,51.19
2062,5.97
2063,21.47
2064,133.08
2065,6.82
2066,47.87
2067,62.85
2068,13.83
2069,39.48
2070,24.84
2071,176.79
2072,82.89
2073,25.58
2074,190.48
2075,138.07
2076,7.11
2077,33.06
2078,76.51
2079,30.13
2080,127.67
2081,17.68
2082,35.74
2083,71.2
2084,60.35
2085,101.09
2086,13.8
2087,215.24
2088,341.84
2089,4.81
2090,0.0
2091,119.53
2092,106.81
2093,72.9
2094,251.54
2095,48.29
2096,3.03
2097,52.09
2098,111.62
2099,80.49
2100,226.91
2101,6.86
2102,69.89
2103,8.56
2104,83.61
2105,41.52
2106,95.92
2107,92.06
2108,132.29
2109,116.7
2110,47.18
2111,156.41
2112,32.78
2113,251.08
2114,101.99
2115,364.22
2116,11.79
2117,22.17
2118,27.88
2119,40.62
2120,53.0
2121,14.74
2122,86.29
2123,139.74
2124,44.76
2125,91.88
2126,82.66
2127,291.46
2128,18.99
2129,26.77
2130,53.04
2131,105.27
2132,0.0
2133,223.55
2134,5.73
2135,72.36
2136,78.99
2137,62.09
2138,16.42
2139,83.99
